workclass,id,education,marital-status,occupation,relationship,race,sex,native-country,target
 State-gov,tr1, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc,tr2, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private,tr3, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Private,tr4, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States, <=50K
 Private,tr5, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female, Cuba, <=50K
 Private,tr6, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, <=50K
 Private,tr7, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female, Jamaica, <=50K
 Self-emp-not-inc,tr8, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr9, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
 Private,tr10, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 State-gov,tr11, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, India, >50K
 Private,tr12, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private,tr13, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male, United-States, <=50K
 Private,tr14, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, ?, >50K
 Private,tr15, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male, Mexico, <=50K
 Self-emp-not-inc,tr16, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
 Private,tr17, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male, United-States, <=50K
 Private,tr18, 11th, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr19, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States, >50K
 Private,tr20, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Federal-gov,tr21, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male, United-States, <=50K
 Private,tr22, HS-grad, Divorced, Tech-support, Unmarried, White, Female, United-States, <=50K
 Local-gov,tr23, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 ?,tr24, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male, South, >50K
 Private,tr25, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Private,tr26, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Local-gov,tr27, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
 Private,tr28, Some-college, Never-married, Sales, Own-child, Black, Male, United-States, <=50K
 Private,tr29, Bachelors, Divorced, Exec-managerial, Own-child, White, Male, United-States, <=50K
 Federal-gov,tr30, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male, United-States, <=50K
 State-gov,tr31, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
 Private,tr32, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male, Puerto-Rico, <=50K
 Private,tr33, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
 Private,tr34, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
 Private,tr35, Some-college, Married-civ-spouse, Sales, Husband, White, Male, ?, >50K
 Self-emp-not-inc,tr36, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr37, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr38, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr39, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
 Private,tr40, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private,tr41, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Federal-gov,tr42, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States, >50K
 Private,tr43, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private,tr44, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
 State-gov,tr45, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr46, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private,tr47, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female, United-States, <=50K
 Private,tr48, HS-grad, Never-married, Other-service, Own-child, White, Female, ?, <=50K
 Private,tr49, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, Honduras, >50K
 Federal-gov,tr50, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
 Self-emp-inc,tr51, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Private,tr52, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Private,tr53, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, <=50K
 Private,tr54, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, Puerto-Rico, <=50K
 Private,tr55, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private,tr56, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private,tr57, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 ?,tr58, 7th-8th, Married-spouse-absent, ?, Not-in-family, White, Male, ?, <=50K
 Private,tr59, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private,tr60, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr61, Some-college, Divorced, Tech-support, Not-in-family, White, Male, United-States, <=50K
 Private,tr62, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr63, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr64, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
 Self-emp-inc,tr65, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 ?,tr66, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
 Private,tr67, Some-college, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
 Private,tr68, Bachelors, Separated, Sales, Own-child, Black, Female, United-States, <=50K
 Self-emp-not-inc,tr69, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr70, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
 Private,tr71, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, <=50K
 Private,tr72, HS-grad, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
 Private,tr73, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 ?,tr74, 10th, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Private,tr75, 11th, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
 Private,tr76, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 Private,tr77, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male, Cuba, <=50K
 Private,tr78, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 Private,tr79, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr80, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female, United-States, >50K
 Private,tr81, HS-grad, Divorced, Sales, Own-child, White, Female, United-States, <=50K
 Local-gov,tr82, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Private,tr83, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr84, 9th, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 Federal-gov,tr85, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
 Private,tr86, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr87, Some-college, Divorced, Craft-repair, Unmarried, White, Female, United-States, <=50K
 Private,tr88, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
 Private,tr89, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, ?, <=50K
 Local-gov,tr90, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Local-gov,tr91, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Private,tr92, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr93, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female, England, <=50K
 Federal-gov,tr94, HS-grad, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
 Private,tr95, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr96, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Self-emp-not-inc,tr97, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private,tr98, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
 Private,tr99, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 ?,tr100, 10th, Never-married, ?, Own-child, White, Female, United-States, <=50K
 Private,tr101, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Local-gov,tr102, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
