age,id,workclass,education,marital-status,occupation,relationship,race,sex,native-country,target
39,tr1, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
50,tr2, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
38,tr3, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
53,tr4, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States, <=50K
28,tr5, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female, Cuba, <=50K
37,tr6, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, <=50K
49,tr7, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female, Jamaica, <=50K
52,tr8, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
31,tr9, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
42,tr10, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
30,tr11, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, India, >50K
23,tr12, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
32,tr13, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male, United-States, <=50K
40,tr14, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, ?, >50K
34,tr15, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male, Mexico, <=50K
25,tr16, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
32,tr17, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male, United-States, <=50K
38,tr18, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
43,tr19, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States, >50K
40,tr20, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
35,tr21, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male, United-States, <=50K
59,tr22, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female, United-States, <=50K
56,tr23, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
54,tr24, ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male, South, >50K
39,tr25, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
49,tr26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
23,tr27, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
20,tr28, Private, Some-college, Never-married, Sales, Own-child, Black, Male, United-States, <=50K
45,tr29, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male, United-States, <=50K
30,tr30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male, United-States, <=50K
22,tr31, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
48,tr32, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male, Puerto-Rico, <=50K
21,tr33, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
19,tr34, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
31,tr35, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, ?, >50K
48,tr36, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
31,tr37, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
53,tr38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
24,tr39, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
49,tr40, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, United-States, <=50K
25,tr41, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
57,tr42, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States, >50K
53,tr43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
44,tr44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
41,tr45, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
29,tr46, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
25,tr47, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female, United-States, <=50K
18,tr48, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, ?, <=50K
47,tr49, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, Honduras, >50K
50,tr50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
47,tr51, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
43,tr52, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
