id,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
tr1,39,77516,13,2174,0,40
tr2,50,83311,13,0,0,13
tr3,38,215646,9,0,0,40
tr4,53,234721,7,0,0,40
tr5,28,338409,13,0,0,40
tr6,37,284582,14,0,0,40
tr7,49,160187,5,0,0,16
tr8,52,209642,9,0,0,45
tr9,31,45781,14,14084,0,50
tr10,42,159449,13,5178,0,40
tr11,30,141297,13,0,0,40
tr12,23,122272,13,0,0,30
tr13,32,205019,12,0,0,50
tr14,40,121772,11,0,0,40
tr15,34,245487,4,0,0,45
tr16,25,176756,9,0,0,35
tr17,32,186824,9,0,0,40
tr18,38,28887,7,0,0,50
tr19,43,292175,14,0,0,45
tr20,40,193524,16,0,0,60
tr21,35,76845,5,0,0,40
tr22,59,109015,9,0,0,40
tr23,56,216851,13,0,0,40
tr24,54,180211,10,0,0,60
tr25,39,367260,9,0,0,80
tr26,49,193366,9,0,0,40
tr27,23,190709,12,0,0,52
tr28,20,266015,10,0,0,44
tr29,45,386940,13,0,1408,40
tr30,30,59951,10,0,0,40
tr31,22,311512,10,0,0,15
tr32,48,242406,7,0,0,40
tr33,21,197200,10,0,0,40
tr34,19,544091,9,0,0,25
tr35,31,84154,10,0,0,38
tr36,48,265477,12,0,0,40
tr37,31,507875,5,0,0,43
tr38,53,88506,13,0,0,40
tr39,24,172987,13,0,0,50
tr40,49,94638,9,0,0,40
tr41,25,289980,9,0,0,35
tr42,57,337895,13,0,0,40
tr43,53,144361,9,0,0,38
tr44,44,128354,14,0,0,40
tr45,41,101603,11,0,0,40
tr46,29,271466,11,0,0,43
tr47,25,32275,10,0,0,40
tr48,18,226956,9,0,0,30
tr49,47,51835,15,0,1902,60
tr50,50,251585,13,0,0,55
tr51,47,109832,9,0,0,60
tr52,43,237993,10,0,0,40
tr53,46,216666,3,0,0,40
tr54,35,56352,11,0,0,40
tr55,41,147372,9,0,0,48
tr56,30,188146,9,5013,0,40
tr57,30,59496,13,2407,0,40
tr58,32,293936,4,0,0,40
tr59,48,149640,9,0,0,40
tr60,42,116632,16,0,0,45
tr61,29,105598,10,0,0,58
tr62,36,155537,9,0,0,40
tr63,28,183175,10,0,0,40
tr64,53,169846,9,0,0,40
tr65,49,191681,10,0,0,50
tr66,25,200681,10,0,0,40
tr67,19,101509,10,0,0,32
tr68,31,309974,13,0,0,40
tr69,29,162298,13,0,0,70
tr70,23,211678,10,0,0,40
tr71,79,124744,10,0,0,20
tr72,27,213921,9,0,0,40
tr73,40,32214,12,0,0,40
